PO2,VO2
100.25,
97.422,0.94337329
95.739,0.561420526
95.255,0.161454269
92.086,1.057125161
89.358,0.91001497
87.397,0.654156655
85.256,0.714201631
83.206,0.68384556
79.834,1.12484255
77.872,0.654490238
75.587,0.762237612
72.929,0.886664146
70.276,0.88499623
68.788,0.496371802
66.306,0.827953502
64.052,0.751896533
61.924,0.70986505
59.5,0.808605677
57.119,0.794261599
54.635,0.828620669
52.629,0.669167899
49.965,0.888665645
47.678,0.762904778
45.464,0.738553205
43.297,0.722874794
41.14,0.719538962
38.548,0.864647654
35.943,0.868984236
33.848,0.698856804
31.641,0.736218122
29.511,0.710532216
27.505,0.669167899
25.273,0.744557702
23.411,0.621131918
21.483,0.64314841
19.425,0.686514226
17.635,0.597113928
15.971,0.555082445
14.282,0.563422025
12.694,0.529730122
11.349,0.448669404
10.096,0.41797975
8.9133,0.394528851
7.7127,0.40049999
6.7927,0.306896544
5.931,0.287448643
5.0473,0.294787474
4.3147,0.244383052
3.6943,0.206955017
3.1213,0.191143174
2.6623,0.153114689
2.2947,0.122625184
1.8657,0.143107193
1.5677,0.099407794
1.3443,0.074522487
1.0287,0.105278858
0.86067,0.056051985
0.76667,0.031356821
0.57067,0.065382307
0.40167,0.056375561
0.32867,0.024351574
0.23833,0.030135906
0.16433,0.024685157
0.12233,0.014010494
0.11433,0.002668666
0.11467,
0.119,
0.16133,
0.086667,0.024906322
0.132,
0.095333,0.012231495
0.10167,
0.095,0.002225
0.18933,
0.12967,0.019901574
0.121,0.002892166
0.24933,
0.13833,0.037027735
0.10733,0.010341079
0.123,
0.13233,
0.12733,0.001667916
0.10067,0.008893328
0.11333,
0.13367,
0.126,0.002558583
0.14733,
0.16033,
0.18067,
0.243,
0.21,0.011008246
0.12633,0.027910906
0.16133,
0.151,0.003445914
0.20567,
0.12433,0.027133657
0.11667,0.002555247
0.12533,
0.16133,
0.117,0.014787743
0.12433,
0.13267,
0.123,0.00322575
0.125,
0.13233,
0.14667,
0.14767,
0.23233,
0.13433,0.032691154
0.12867,0.001888081
0.14367,
0.152,
0.18833,
0.22367,
0.19067,0.011008246
0.14833,0.014123913
0.12367,0.008226162
0.12867,
0.13567,
0.22467,
0.15633,0.022797076
0.21333,
0.15733,0.018680659
0.15233,0.001667916
0.154,
0.18967,
0.15933,0.010120914
0.214,
0.16567,0.016122076
0.15467,0.003669415
0.158,
0.14067,0.005780997
0.156,
